Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Object Repository/ContactJobSeeker/Page_/img_1""))",Edge Chromium 115,,,2023-07-27 22:45:23,2023-07-27 22:45:27,3.417s,PASSED
"click(findTestObject(""Object Repository/ContactJobSeeker/forHover""))",Edge Chromium 115,,,2023-07-27 22:45:27,2023-07-27 22:45:27,0.523s,PASSED
"click(findTestObject(""Object Repository/ContactJobSeeker/Page_Jobstoday/span_Logout""))",Edge Chromium 115,,,2023-07-27 22:45:27,2023-07-27 22:45:30,2.590s,PASSED
,,,,,,,
Test Cases/Employee/EmployeeLoginTC,Edge Chromium 115,,,2023-07-27 22:45:30,2023-07-27 22:46:15,45.546s,PASSED
"openBrowser("""")",Edge Chromium 115,,,2023-07-27 22:45:30,2023-07-27 22:45:35,4.549s,PASSED
"navigateToUrl(""https://www.jobstoday.world/en/"")",Edge Chromium 115,,,2023-07-27 22:45:35,2023-07-27 22:45:59,24.724s,PASSED
maximizeWindow(),Edge Chromium 115,,,2023-07-27 22:45:59,2023-07-27 22:45:59,0.214s,PASSED
"click(findTestObject(""Object Repository/loginElements/Page_Jobs Search, Search for a Job - Jobsto_ce5d69/button_Accept All Cookies""))",Edge Chromium 115,,,2023-07-27 22:45:59,2023-07-27 22:46:01,1.360s,PASSED
"click(findTestObject(""Object Repository/loginElements/Page_Jobs Search, Search for a Job - Jobsto_ce5d69/a_Login""))",Edge Chromium 115,,,2023-07-27 22:46:01,2023-07-27 22:46:05,4.254s,PASSED
"setText(findTestObject(""Object Repository/loginElements/Page_Login to Jobstoday.world - Create Resu_ef8a51/input_Email address_input_email""), ""employee@gmail.com"")",Edge Chromium 115,,,2023-07-27 22:46:05,2023-07-27 22:46:07,1.557s,PASSED
"setText(findTestObject(""Object Repository/loginElements/Page_Login to Jobstoday.world - Create Resu_ef8a51/input_Password_input_password""), ""Pass@123"")",Edge Chromium 115,,,2023-07-27 22:46:07,2023-07-27 22:46:09,2.683s,PASSED
driver = getWebDriver(),Edge Chromium 115,,,2023-07-27 22:46:09,2023-07-27 22:46:09,0.001s,PASSED
a = new org.openqa.selenium.interactions.Actions(driver),Edge Chromium 115,,,2023-07-27 22:46:09,2023-07-27 22:46:09,0.001s,PASSED
build().perform(),Edge Chromium 115,,,2023-07-27 22:46:09,2023-07-27 22:46:09,0.027s,PASSED
build().perform(),Edge Chromium 115,,,2023-07-27 22:46:09,2023-07-27 22:46:09,0.036s,PASSED
build().perform(),Edge Chromium 115,,,2023-07-27 22:46:09,2023-07-27 22:46:09,0.023s,PASSED
build().perform(),Edge Chromium 115,,,2023-07-27 22:46:09,2023-07-27 22:46:09,0.029s,PASSED
build().perform(),Edge Chromium 115,,,2023-07-27 22:46:09,2023-07-27 22:46:09,0.026s,PASSED
Thread.sleep(2000),Edge Chromium 115,,,2023-07-27 22:46:09,2023-07-27 22:46:11,2.008s,PASSED
"a1 = ""0""",Edge Chromium 115,,,2023-07-27 22:46:11,2023-07-27 22:46:11,0.001s,PASSED
"a2 = ""7""",Edge Chromium 115,,,2023-07-27 22:46:11,2023-07-27 22:46:11,0.000s,PASSED
"a3 = ""8""",Edge Chromium 115,,,2023-07-27 22:46:11,2023-07-27 22:46:11,0.000s,PASSED
"a4 = ""9""",Edge Chromium 115,,,2023-07-27 22:46:11,2023-07-27 22:46:11,0.001s,PASSED
build().perform(),Edge Chromium 115,,,2023-07-27 22:46:11,2023-07-27 22:46:12,0.035s,PASSED
"sendKeys(findTestObject(""Object Repository/loginElements/Page_Login to Jobstoday.world - Create Resu_ef8a51/button_Login""), String.valueOf(a1 + a2 + a3 + a4))",Edge Chromium 115,,,2023-07-27 22:46:12,2023-07-27 22:46:12,0.680s,PASSED
"click(findTestObject(""Object Repository/loginElements/Page_Login to Jobstoday.world - Create Resu_ef8a51/button_Login""))",Edge Chromium 115,,,2023-07-27 22:46:12,2023-07-27 22:46:13,0.613s,PASSED
Thread.sleep(2000),Edge Chromium 115,,,2023-07-27 22:46:13,2023-07-27 22:46:15,2.014s,PASSED
"verifyMatch(getUrl(), ""https://www.jobstoday.world/en/"", false)",Edge Chromium 115,,,2023-07-27 22:46:15,2023-07-27 22:46:15,0.683s,PASSED
,,,,,,,
Test Cases/Employee/LogoutEmployeeTC,Edge Chromium 115,,,2023-07-27 22:46:16,2023-07-27 22:48:36,2m - 20.925s,PASSED
"callTestCase(findTestCase(""Test Cases/Employee/EmployeeLoginTC""), [:])",Edge Chromium 115,,,2023-07-27 22:46:16,2023-07-27 22:47:03,46.220s,PASSED
"click(findTestObject(""Object Repository/ContactJobSeeker/Page_/img_1""))",Edge Chromium 115,,,2023-07-27 22:47:03,2023-07-27 22:48:31,1m - 28.574s,PASSED
"click(findTestObject(""Object Repository/ContactJobSeeker/forHover""))",Edge Chromium 115,,,2023-07-27 22:48:31,2023-07-27 22:48:32,0.635s,PASSED
"click(findTestObject(""Object Repository/ContactJobSeeker/Page_Jobstoday/span_Logout""))",Edge Chromium 115,,,2023-07-27 22:48:32,2023-07-27 22:48:35,3.374s,PASSED
"verifyMatch(getUrl(), ""https://www.jobstoday.world/en/login/"", false)",Edge Chromium 115,,,2023-07-27 22:48:35,2023-07-27 22:48:35,0.055s,PASSED
closeBrowser(),Edge Chromium 115,,,2023-07-27 22:48:35,2023-07-27 22:48:36,1.193s,PASSED
